session_id;answered_at;attempt_order;italian_word;clue_language;clue;user_answer;is_correct;error_type;error_type_tr;similarity_score;confused_with;task_attempt_number;is_first_try_correct;source_file
20260720_140226;2026-07-20 14:03:10;1;Ciao;İngilizce;hi;ciao;True;correct;Doğru;1.0;;1;True;20.07.2026_14.02.26_attempts.csv
20260720_140226;2026-07-20 14:03:21;2;Fare;İngilizce;To do/ to make;fare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.02.26_attempts.csv
20260720_140226;2026-07-20 14:03:30;3;A Domani;Türkçe;Yarın Görüşürüz;a domani;True;correct;Doğru;1.0;;1;True;20.07.2026_14.02.26_attempts.csv
20260720_140226;2026-07-20 14:03:48;4;Mezzo di trasporto;Türkçe;Ulaşım Aracı;di mezzo traporta;False;unknown_or_semantic_error;Bilinmeyen veya anlamsal hata;0.743;;1;False;20.07.2026_14.02.26_attempts.csv
20260720_140226;2026-07-20 14:04:03;5;Iniziare;Türkçe;Başlamak;iniziare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.02.26_attempts.csv
20260720_140727;2026-07-20 14:07:50;1;Pensare;Türkçe;Düşünmek;pensare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:07:57;2;Pensare;İngilizce;To think;pensare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:08:52;3;Due anni fa;İngilizce;Two years ago;due anni fa;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:09:10;4;Mezzo di trasporto;İngilizce;Transportation;mezzo di transporta;False;spelling_error;Yazım hatası;0.919;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:09:28;5;Potere;İngilizce;Can/ to be able to;potare;False;spelling_error;Yazım hatası;0.833;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:09:36;6;Diverso;Türkçe;Farklı/Çeşitli;diverso;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:09:40;7;Mese;Türkçe;Ay;mese;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:09:49;8;Altro;Türkçe;Başka / Diğer / Bir tane daha;altro;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:09:54;9;Parlare;Türkçe;Konuşmak;parlare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:10:10;10;Dovere;İngilizce;Must/ to have to;dovere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:10:15;11;Fine Settimana;Türkçe;Hafta sonu;fine settimana;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:10:37;12;Assenza;Türkçe;Yokluk / Bulunmama;assenze;False;spelling_error;Yazım hatası;0.857;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:10:50;13;Facile;İngilizce;Easy;facile;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:13:24;14;Durante;Türkçe;Sırasında / Boyunca;durante;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:13:28;15;Corso;Türkçe;Kurs / Ders;corso;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:13:33;16;Vorrei;Türkçe;İsterdim / istiyorum;vorrei;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:13:37;17;Indicare;İngilizce;To indicate / To point out;indicare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:13:41;18;Domani;Türkçe;Yarın;domani;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:13:47;19;Diverso;İngilizce;Different/various;diverso;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:13:52;20;Essere;İngilizce;To be;essere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:13:57;21;Assenza;Türkçe;Yokluk / Bulunmama;assenza;True;correct;Doğru;1.0;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:15:31;22;Ciao;İngilizce;hi;ciao;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:15:39;23;Due anni fa;Türkçe;İki yıl önce;due anni fa;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:15:45;24;Prendere;Türkçe;Almak/Binmek;prendere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:15:52;25;Presente;Türkçe;Mevcut / Şimdiki / Hazır bulunan;present;False;spelling_error;Yazım hatası;0.933;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:16:02;26;Sbagliato;Türkçe;Yanlış / Hatalı;sbagliotto;False;spelling_error;Yazım hatası;0.842;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:16:08;27;Felice;İngilizce;Happy;felice;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:16:15;28;Ricevere;İngilizce;To recieve;ricevere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:16:19;29;Durante;İngilizce;During;durante;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:16:28;30;Presente;Türkçe;Mevcut / Şimdiki / Hazır bulunan;presente;True;correct;Doğru;1.0;;2;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:16:36;31;Volere;Türkçe;İstemek;voglio;False;wrong_word_form;Yanlış/çekimli kelime biçimi;0.5;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:16:47;32;Vivere;Türkçe;Yaşamak;vivere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:16:54;33;Difficile;Türkçe;Zor;difficile;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:17:06;34;Ricevere;Türkçe;Almak/ Teslim almak;ricevere;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:17:12;35;Oggi;İngilizce;Today;oggi;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:17:16;36;Iniziare;İngilizce;To start/to begin;iniziare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:17:24;37;Azione;Türkçe;Aksiyon;azzione;False;spelling_error;Yazım hatası;0.923;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:17:33;38;Sbagliato;İngilizce;Wrong/Incorrect;sbaglito;False;spelling_error;Yazım hatası;0.941;;1;False;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:17:40;39;Cambiare;İngilizce;To change;cambiare;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
20260720_140727;2026-07-20 14:17:46;40;Presente;İngilizce;Present / Current;presente;True;correct;Doğru;1.0;;1;True;20.07.2026_14.07.27_attempts.csv
